Category: All categories

Month,Cupcake: (Worldwide)
2004-01,5
2004-02,5
2004-03,6
2004-04,5
2004-05,6
2004-06,5
2004-07,6
2004-08,6
2004-09,5
2004-10,8
2004-11,6
2004-12,7
2005-01,7
2005-02,9
2005-03,9
2005-04,7
2005-05,8
2005-06,7
2005-07,7
2005-08,8
2005-09,9
2005-10,11
2005-11,8
2005-12,8
2006-01,9
2006-02,12
2006-03,11
2006-04,11
2006-05,11
2006-06,11
2006-07,10
2006-08,11
2006-09,12
2006-10,16
2006-11,12
2006-12,12
2007-01,12
2007-02,16
2007-03,15
2007-04,15
2007-05,17
2007-06,18
2007-07,18
2007-08,17
2007-09,19
2007-10,23
2007-11,19
2007-12,17
2008-01,19
2008-02,25
2008-03,24
2008-04,24
2008-05,25
2008-06,23
2008-07,25
2008-08,26
2008-09,26
2008-10,31
2008-11,27
2008-12,25
2009-01,29
2009-02,36
2009-03,33
2009-04,35
2009-05,37
2009-06,36
2009-07,36
2009-08,37
2009-09,36
2009-10,44
2009-11,37
2009-12,35
2010-01,37
2010-02,47
2010-03,46
2010-04,46
2010-05,49
2010-06,48
2010-07,55
2010-08,63
2010-09,59
2010-10,64
2010-11,57
2010-12,54
2011-01,55
2011-02,73
2011-03,68
2011-04,75
2011-05,69
2011-06,70
2011-07,69
2011-08,78
2011-09,72
2011-10,85
2011-11,80
2011-12,79
2012-01,80
2012-02,95
2012-03,92
2012-04,93
2012-05,90
2012-06,89
2012-07,87
2012-08,88
2012-09,92
2012-10,97
2012-11,85
2012-12,83
2013-01,79
2013-02,100
2013-03,100
2013-04,86
2013-05,88
2013-06,84
2013-07,85
2013-08,84
2013-09,82
2013-10,93
2013-11,86
2013-12,84
2014-01,81
2014-02,98
2014-03,94
2014-04,89
2014-05,84
2014-06,77
2014-07,80
2014-08,80
2014-09,81
2014-10,87
2014-11,82
2014-12,76
2015-01,73
2015-02,85
2015-03,79
2015-04,74
2015-05,74
2015-06,72
2015-07,72
2015-08,69
2015-09,69
2015-10,81
2015-11,70
2015-12,68
2016-01,66
2016-02,74
2016-03,71
2016-04,65
2016-05,66
2016-06,62
2016-07,60
2016-08,56
2016-09,60
2016-10,66
2016-11,60
2016-12,58
2017-01,55
2017-02,70
2017-03,60
2017-04,60
2017-05,59
2017-06,53
2017-07,50
2017-08,53
2017-09,52
2017-10,61
2017-11,53
2017-12,50
2018-01,50
2018-02,58
2018-03,56
2018-04,50
2018-05,50
2018-06,47
2018-07,47
2018-08,47
2018-09,48
2018-10,51
2018-11,47
2018-12,49
2019-01,48
2019-02,55
2019-03,49
2019-04,49
2019-05,45
2019-06,43
2019-07,41
2019-08,42
2019-09,44
2019-10,56
2019-11,44
2019-12,43
2020-01,40
2020-02,49
2020-03,44
2020-04,55
2020-05,57
2020-06,51
2020-07,47
2020-08,46
2020-09,44
2020-10,49
2020-11,42
2020-12,43
2021-01,43
2021-02,53
2021-03,47
